approach,n_ris,spacing_key,spacing_lambda,spacing_label,training_policy,evaluation_condition,channel_gain,source_file
Greedy,16,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,3154.4388,outputs/Greedy/16/lambda_4.txt
Greedy,16,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,3154.2605,outputs/Greedy/16/lambda_4.txt
Greedy,16,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,3150.7351,outputs/Greedy/16/lambda_4.txt
Greedy,16,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,3157.8929,outputs/Greedy/16/lambda_4.txt
Greedy,16,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,3444.4645,outputs/Greedy/16/lambda_2.txt
Greedy,16,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,3444.6319,outputs/Greedy/16/lambda_2.txt
Greedy,16,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,3443.9555,outputs/Greedy/16/lambda_2.txt
Greedy,16,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,3444.8277,outputs/Greedy/16/lambda_2.txt
Greedy,16,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,10692.6328,outputs/Greedy/16/lambda.txt
Greedy,16,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,10692.2984,outputs/Greedy/16/lambda.txt
Greedy,16,lambda,1.0,\lambda,mc_aware,no_coupling_eval,10692.5222,outputs/Greedy/16/lambda.txt
Greedy,16,lambda,1.0,\lambda,mc_aware,with_coupling_eval,10692.239,outputs/Greedy/16/lambda.txt
Greedy,64,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,8010.1376,outputs/Greedy/64/lambda_4.txt
Greedy,64,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,8004.0025,outputs/Greedy/64/lambda_4.txt
Greedy,64,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,7895.3777,outputs/Greedy/64/lambda_4.txt
Greedy,64,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,8064.5379,outputs/Greedy/64/lambda_4.txt
Greedy,64,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,9698.1308,outputs/Greedy/64/lambda_2.txt
Greedy,64,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,9698.7984,outputs/Greedy/64/lambda_2.txt
Greedy,64,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,9696.1963,outputs/Greedy/64/lambda_2.txt
Greedy,64,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,9703.3082,outputs/Greedy/64/lambda_2.txt
Greedy,64,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,3306.0093,outputs/Greedy/64/lambda.txt
Greedy,64,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,3305.9374,outputs/Greedy/64/lambda.txt
Greedy,64,lambda,1.0,\lambda,mc_aware,no_coupling_eval,3305.6873,outputs/Greedy/64/lambda.txt
Greedy,64,lambda,1.0,\lambda,mc_aware,with_coupling_eval,3305.6999,outputs/Greedy/64/lambda.txt
