approach,n_ris,spacing_key,spacing_lambda,spacing_label,mc_aware_no_coupling_eval,mc_aware_with_coupling_eval,standard_no_mc_no_coupling_eval,standard_no_mc_with_coupling_eval,mc_aware_gain_delta,mc_aware_gain_delta_percent
Greedy,16,lambda_4,0.25,\lambda/4,3150.7351,3157.8929,3154.4388,3154.2605,3.6323999999999614,0.11515852923371299
Greedy,16,lambda_2,0.5,\lambda/2,3443.9555,3444.8277,3444.4645,3444.6319,0.1957999999999629,0.005684206779829302
Greedy,16,lambda,1.0,\lambda,10692.5222,10692.239,10692.6328,10692.2984,-0.05940000000009604,-0.0005555400511464966
Greedy,64,lambda_4,0.25,\lambda/4,7895.3777,8064.5379,8010.1376,8004.0025,60.535400000000664,0.7563141065985507
Greedy,64,lambda_2,0.5,\lambda/2,9696.1963,9703.3082,9698.1308,9698.7984,4.509799999999814,0.046498543572158525
Greedy,64,lambda,1.0,\lambda,3305.6873,3305.6999,3306.0093,3305.9374,-0.23749999999972715,-0.00718404407777737
Greedy,256,lambda_4,0.25,\lambda/4,4215.8121,5678.9458,5129.0446,5158.523,520.4228000000003,10.088600942556624
Greedy,256,lambda_2,0.5,\lambda/2,8285.0095,8366.5164,8326.2517,8323.9851,42.531300000000556,0.510948776205769
Greedy,256,lambda,1.0,\lambda,8810.2441,8811.9784,8810.3236,8811.7168,0.26159999999981665,0.0029687744844434476
Gumbel,16,lambda_4,0.25,\lambda/4,4301.0999,4301.9575,4313.9986,4313.4695,-11.511999999999716,-0.2668849287099333
Gumbel,16,lambda_2,0.5,\lambda/2,4558.7754,4556.3243,4567.8112,4567.5115,-11.187199999999393,-0.24492987045570425
Gumbel,16,lambda,1.0,\lambda,6921.085,6920.4975,6922.3957,6922.7619,-2.2644000000000233,-0.032709488390753744
Gumbel,64,lambda_4,0.25,\lambda/4,5205.5918,5316.1851,5291.0102,5296.7491,19.435999999999694,0.3669420550805341
Gumbel,64,lambda_2,0.5,\lambda/2,4919.7728,4931.853,4935.3437,4933.3571,-1.5041000000001077,-0.030488366633749413
Gumbel,64,lambda,1.0,\lambda,4184.5349,4185.9399,4183.451,4183.7304,2.2094999999999345,0.052811720372802566
Gumbel,256,lambda_4,0.25,\lambda/4,8325.6386,9864.3412,8781.4274,8783.126,1081.2152000000006,12.310141059117226
Gumbel,256,lambda_2,0.5,\lambda/2,5890.0953,5981.235,5986.7204,5988.5387,-7.30370000000039,-0.12196130585246764
Gumbel,256,lambda,1.0,\lambda,6624.8332,6630.161,6618.6702,6621.6798,8.481200000000172,0.1280823032246315
Transformer,16,lambda_4,0.25,\lambda/4,3732.2028,3736.434,3735.3661,3736.0268,0.4072000000001026,0.01089927941630672
Transformer,16,lambda_2,0.5,\lambda/2,4897.5629,4898.6836,4891.7288,4891.6938,6.989800000000287,0.14289120058987106
Transformer,16,lambda,1.0,\lambda,4069.2294,4069.4834,4068.9276,4069.2059,0.2775000000001455,0.006819512377099068
Transformer,64,lambda_4,0.25,\lambda/4,6233.9761,6359.9027,6292.5108,6286.039,73.86369999999988,1.1750436164968097
Transformer,64,lambda_2,0.5,\lambda/2,4420.6925,4431.239,4411.4289,4414.8317,16.40729999999985,0.3716404410161287
Transformer,64,lambda,1.0,\lambda,4631.2644,4632.1385,4634.2034,4633.6701,-1.5316000000002532,-0.03305371264994142
Transformer,256,lambda_4,0.25,\lambda/4,8570.2278,10157.9257,9047.0213,8914.0699,1243.8557999999994,13.953848398698323
Transformer,256,lambda_2,0.5,\lambda/2,5149.931,5257.4181,5141.4109,5157.2966,100.1215000000002,1.9413562524210883
Transformer,256,lambda,1.0,\lambda,5810.9347,5820.5748,5785.3179,5787.7269,32.847900000000664,0.5675440560265665
