approach,n_ris,spacing_key,spacing_lambda,spacing_label,baseline_gain_with_mc,mc_aware_gain_with_mc,absolute_improvement,relative_improvement_percent
Greedy,16,lambda_4,0.25,\lambda/4,3154.2605,3157.8929,3.6323999999999614,0.11515852923371299
Greedy,16,lambda_2,0.5,\lambda/2,3444.6319,3444.8277,0.1957999999999629,0.005684206779829302
Greedy,16,lambda,1.0,\lambda,10692.2984,10692.239,-0.05940000000009604,-0.0005555400511464966
Greedy,64,lambda_4,0.25,\lambda/4,8004.0025,8064.5379,60.535400000000664,0.7563141065985507
Greedy,64,lambda_2,0.5,\lambda/2,9698.7984,9703.3082,4.509799999999814,0.046498543572158525
Greedy,64,lambda,1.0,\lambda,3305.9374,3305.6999,-0.23749999999972715,-0.00718404407777737
Greedy,256,lambda_4,0.25,\lambda/4,5158.523,5678.9458,520.4228000000003,10.088600942556624
Greedy,256,lambda_2,0.5,\lambda/2,8323.9851,8366.5164,42.531300000000556,0.510948776205769
Greedy,256,lambda,1.0,\lambda,8811.7168,8811.9784,0.26159999999981665,0.0029687744844434476
Gumbel,16,lambda_4,0.25,\lambda/4,4313.4695,4301.9575,-11.511999999999716,-0.2668849287099333
Gumbel,16,lambda_2,0.5,\lambda/2,4567.5115,4556.3243,-11.187199999999393,-0.24492987045570425
Gumbel,16,lambda,1.0,\lambda,6922.7619,6920.4975,-2.2644000000000233,-0.032709488390753744
Gumbel,64,lambda_4,0.25,\lambda/4,5296.7491,5316.1851,19.435999999999694,0.3669420550805341
Gumbel,64,lambda_2,0.5,\lambda/2,4933.3571,4931.853,-1.5041000000001077,-0.030488366633749413
Gumbel,64,lambda,1.0,\lambda,4183.7304,4185.9399,2.2094999999999345,0.052811720372802566
Gumbel,256,lambda_4,0.25,\lambda/4,8783.126,9864.3412,1081.2152000000006,12.310141059117226
Gumbel,256,lambda_2,0.5,\lambda/2,5988.5387,5981.235,-7.30370000000039,-0.12196130585246764
Gumbel,256,lambda,1.0,\lambda,6621.6798,6630.161,8.481200000000172,0.1280823032246315
Transformer,16,lambda_4,0.25,\lambda/4,3736.0268,3736.434,0.4072000000001026,0.01089927941630672
Transformer,16,lambda_2,0.5,\lambda/2,4891.6938,4898.6836,6.989800000000287,0.14289120058987106
Transformer,16,lambda,1.0,\lambda,4069.2059,4069.4834,0.2775000000001455,0.006819512377099068
Transformer,64,lambda_4,0.25,\lambda/4,6286.039,6359.9027,73.86369999999988,1.1750436164968097
Transformer,64,lambda_2,0.5,\lambda/2,4414.8317,4431.239,16.40729999999985,0.3716404410161287
Transformer,64,lambda,1.0,\lambda,4633.6701,4632.1385,-1.5316000000002532,-0.03305371264994142
Transformer,256,lambda_4,0.25,\lambda/4,8914.0699,10157.9257,1243.8557999999994,13.953848398698323
Transformer,256,lambda_2,0.5,\lambda/2,5157.2966,5257.4181,100.1215000000002,1.9413562524210883
Transformer,256,lambda,1.0,\lambda,5787.7269,5820.5748,32.847900000000664,0.5675440560265665
